material,year,country,route,energy_MJ_per_kg,emissions_kgCO2e_per_kg,mining_energy_MJ_per_kg,smelting_energy_MJ_per_kg,refining_energy_MJ_per_kg,fabrication_energy_MJ_per_kg,recycled_content_frac,recycling_efficiency_frac,recycled_output_kg_per_kg,loop_closing_potential_USD_per_kg,reuse_potential_score,repairability_score,product_lifetime_years,end_of_life_route,transport_distance_km,transport_mode,electricity_grid_renewable_pct,renewable_electricity_frac,material_criticality_score,economic_value_USD_per_kg,circularity_index_default,missing_data_flag,V_kg,recovered_kg,W_kg,LFI,lifespan_clipped,F,MCI_raw,MCI,MCI_percent
Aluminium,2023,Australia,Secondary,6.542,0.713,0.662,0.455,0.617,4.808,0.622,0.755,0.469,0.41,0.307,0.752,5.3,Recycled,367.1,Ship,12.4,0.124,0.185,0.875,0.528,0,0.378,0.469,0.531,0.4545,5.3,2.54717,-0.15768876500000006,0.0,0.0
Aluminium,2024,Australia,Secondary,4.795,0.791,0.2,0.289,0.295,4.011,0.775,0.885,0.685,1.117,0.415,0.597,9.8,Recycled,207.0,Truck,57.2,0.572,0.124,1.631,0.696,0,0.225,0.685,0.315,0.27,9.8,1.377551,0.6280612299999999,0.628061,62.81
Copper,2020,Chile,Secondary,5.927,1.138,0.24,0.878,0.646,4.163,0.881,0.727,0.64,3.53,0.674,0.385,6.1,Landfill,755.9,Air,52.9,0.529,0.291,5.516,0.684,0,0.119,0.64,0.36,0.2395,6.1,2.213115,0.46995895749999994,0.469959,47.0
Nickel,2021,USA,Secondary,19.895,2.708,0.944,3.809,0.488,14.655,0.619,0.79,0.489,6.035,0.196,0.246,0.5,Recycled,283.8,Truck,62.1,0.621,0.443,12.341,0.57,0,0.381,0.489,0.511,0.446,0.5,27.0,-11.042,0.0,0.0
Lithium,2023,Canada,Primary,97.435,9.864,50.096,17.653,14.102,15.584,0.013,0.3,0.004,0.2,0.18,0.179,4.5,Cascaded,364.6,Rail,30.5,0.305,0.324,49.943,0.199,0,0.987,0.004,0.996,0.9915,4.5,3.0,-1.9745,0.0,0.0
Zinc,2023,India,Primary,21.812,3.605,6.68,9.601,3.413,2.119,0.036,0.3,0.011,0.028,0.638,0.605,2.7,Cascaded,92.0,Ship,39.3,0.393,0.171,2.556,0.334,0,0.964,0.011,0.989,0.9765,2.7,5.0,-3.8825000000000003,0.0,0.0
Cobalt,2022,India,Primary,101.698,10.636,37.137,39.037,16.436,9.089,0.044,0.415,0.018,0.638,0.293,0.371,5.8,Landfill,171.8,Truck+Ship,56.5,0.565,0.245,35.463,0.33,0,0.956,0.018,0.982,0.969,5.8,2.327586,-1.2554308340000002,0.0,0.0
Nickel,2020,Australia,Primary,72.976,8.683,22.677,34.332,10.427,5.539,0.027,0.3,0.008,0.134,0.276,0.334,5.7,Downcycled,202.7,Truck,58.3,0.583,0.106,16.803,0.288,0,0.973,0.008,0.992,0.9825,5.7,2.368421,-1.3269736325,0.0,0.0
Steel,2024,Chile,Primary,15.542,2.029,4.031,7.117,2.334,2.06,0.042,0.3,0.013,0.01,0.443,0.633,7.7,Recycled,185.9,Ship,28.8,0.288,0.134,0.745,0.288,0,0.958,0.013,0.987,0.9725,7.7,1.753247,-0.7050327075,0.0,0.0
Nickel,2021,China,Primary,66.464,8.837,23.299,28.061,8.786,6.318,0.036,0.485,0.017,0.309,0.17,0.307,10.7,Landfill,132.2,Rail,44.4,0.444,0.574,18.198,0.3,0,0.964,0.017,0.983,0.9735,10.7,1.261682,-0.2282474270000001,0.0,0.0
Steel,2020,India,Secondary,6.506,1.168,0.433,0.669,0.737,4.667,0.837,0.757,0.634,0.43,0.35,0.563,6.8,Landfill,514.3,Ship,30.6,0.306,0.229,0.678,0.606,0,0.163,0.634,0.366,0.2645,6.8,1.985294,0.47488973700000003,0.47489,47.49
Copper,2020,Chile,Secondary,8.313,1.166,0.0,1.023,0.719,6.572,0.763,0.797,0.608,2.625,0.636,0.463,9.0,Recycled,67.1,Rail,14.3,0.143,0.078,4.318,0.6,0,0.237,0.608,0.392,0.3145,9.0,1.5,0.52825,0.52825,52.82
Steel,2018,USA,Primary,19.777,2.368,6.408,6.987,2.753,3.629,0.036,0.3,0.011,0.01,0.472,0.424,1.3,Landfill,12.3,Truck,0.0,0.0,0.422,0.933,0.212,0,0.964,0.011,0.989,0.9765,1.3,10.384615,-9.1405765475,0.0,0.0
Nickel,2020,Australia,Secondary,19.578,3.444,1.382,2.843,1.661,13.692,0.734,0.776,0.569,7.585,0.256,0.341,2.2,Downcycled,280.1,Truck+Ship,18.4,0.184,0.147,13.33,0.526,0,0.266,0.569,0.431,0.3485,2.2,6.136364,-1.138522854,0.0,0.0
Cobalt,2018,USA,Primary,88.939,12.222,35.722,30.499,15.192,7.527,0.026,0.3,0.008,0.321,0.161,0.463,4.1,Recycled,149.3,Ship,37.6,0.376,0.139,40.087,0.242,0,0.974,0.008,0.992,0.983,4.1,3.292683,-2.2367073889999998,0.0,0.0
Nickel,2019,Brazil,Secondary,18.885,2.285,1.566,3.741,1.264,12.314,0.747,0.777,0.58,8.005,0.447,0.214,0.6,Recycled,662.4,Truck,56.0,0.56,0.375,13.801,0.62,0,0.253,0.58,0.42,0.3365,0.6,22.5,-6.571250000000001,0.0,0.0
Lithium,2022,China,Primary,90.72,9.91,42.17,18.463,15.707,14.38,0.071,0.3,0.021,0.9,0.233,0.099,2.9,Landfill,623.4,Ship,45.1,0.451,0.174,42.861,0.243,0,0.929,0.021,0.979,0.954,2.9,4.655172,-3.4410340880000003,0.0,0.0
Aluminium,2019,Chile,Secondary,5.742,0.815,0.117,0.576,0.24,4.808,0.891,0.822,0.732,0.795,0.686,0.752,4.7,Recycled,141.4,Rail,21.5,0.215,0.146,1.086,0.69,0,0.109,0.732,0.268,0.1885,4.7,2.87234,0.45856390999999996,0.458564,45.86
Aluminium,2020,Brazil,Secondary,6.27,0.714,0.27,0.552,0.431,5.016,0.795,0.862,0.686,0.853,0.45,0.483,10.0,Recycled,111.3,Truck,39.8,0.398,0.339,1.243,0.653,0,0.205,0.686,0.314,0.2595,10.0,1.35,0.649675,0.649675,64.97
Lithium,2024,India,Secondary,25.041,2.238,5.212,4.599,2.981,12.25,0.537,0.871,0.468,17.022,0.41,0.447,4.9,Incinerated,8.3,Truck,45.5,0.455,0.513,36.372,0.593,0,0.463,0.468,0.532,0.4975,4.9,2.755102,-0.37066324500000003,0.0,0.0
Zinc,2021,Brazil,Secondary,10.095,1.041,0.0,1.601,0.941,7.553,0.702,0.764,0.536,0.996,0.208,0.356,6.3,Recycled,896.0,Ship,38.4,0.384,0.08,1.859,0.548,0,0.298,0.536,0.464,0.381,6.3,2.142857,0.18357148300000004,0.183571,18.36
Aluminium,2022,Brazil,Secondary,6.117,1.223,0.004,0.587,0.438,5.087,0.706,0.918,0.648,0.862,0.649,0.603,11.9,Incinerated,56.9,Rail,22.3,0.223,0.728,1.33,0.654,0,0.294,0.648,0.352,0.323,11.9,1.134454,0.633571358,0.633571,63.36
Steel,2022,Chile,Secondary,7.02,0.443,0.616,1.14,0.362,4.902,0.768,0.749,0.576,0.414,0.359,0.289,6.9,Cascaded,4.9,Truck,22.1,0.221,0.305,0.719,0.544,0,0.232,0.576,0.424,0.328,6.9,1.956522,0.35826078399999994,0.358261,35.83
Steel,2023,Canada,Secondary,6.732,0.877,0.899,1.076,0.328,4.429,0.887,0.785,0.696,0.514,0.515,0.556,6.1,Downcycled,307.1,Truck+Ship,41.3,0.413,0.271,0.739,0.673,0,0.113,0.696,0.304,0.2085,6.1,2.213115,0.5385655225,0.538566,53.86
Steel,2019,China,Secondary,8.771,0.909,1.155,1.161,0.606,5.85,0.874,0.748,0.653,0.37,0.333,0.211,7.3,Recycled,69.9,Truck,40.6,0.406,0.531,0.566,0.595,0,0.126,0.653,0.347,0.2365,7.3,1.849315,0.5626370025,0.562637,56.26
Aluminium,2024,Chile,Primary,73.22,13.178,9.627,49.189,7.706,6.698,0.024,0.438,0.011,0.016,0.218,0.569,1.7,Downcycled,134.1,Truck,42.5,0.425,0.357,1.424,0.312,1,0.976,0.011,0.989,0.9825,1.7,7.941176,-6.80220542,0.0,0.0
Zinc,2018,India,Secondary,9.304,1.176,0.49,1.526,0.774,6.515,0.539,0.821,0.442,0.844,0.587,0.804,0.5,Landfill,152.3,Rail,76.9,0.769,0.282,1.909,0.703,0,0.461,0.442,0.558,0.5095,0.5,27.0,-12.756499999999999,0.0,0.0
Nickel,2022,Germany,Primary,66.687,9.277,21.905,32.691,6.572,5.52,0.007,0.3,0.002,0.038,0.28,0.098,5.9,Recycled,266.3,Ship,17.7,0.177,0.336,18.917,0.179,0,0.993,0.002,0.998,0.9955,5.9,2.288136,-1.2778393880000003,0.0,0.0
Lithium,2019,Germany,Primary,87.0,12.825,39.477,16.521,14.529,16.474,0.019,0.404,0.008,0.432,0.207,0.221,3.5,Recycled,15.8,Rail,43.8,0.438,0.212,54.043,0.267,0,0.981,0.008,0.992,0.9865,3.5,3.857143,-2.8050715695000004,0.0,0.0
Steel,2021,Canada,Primary,16.754,2.421,5.664,6.242,2.806,2.042,0.026,0.3,0.008,0.008,0.332,0.444,2.7,Downcycled,14.7,Truck+Ship,26.0,0.26,0.189,0.992,0.243,0,0.974,0.008,0.992,0.983,2.7,5.0,-3.915,0.0,0.0
Lithium,2024,China,Secondary,20.207,2.016,4.619,2.279,2.523,10.787,0.86,0.865,0.744,22.098,0.309,0.278,4.4,Landfill,1080.5,Ship,41.2,0.412,0.169,29.701,0.631,0,0.14,0.744,0.256,0.198,4.4,3.068182,0.392499964,0.3925,39.25
Aluminium,2019,India,Primary,68.758,10.722,11.439,42.33,8.644,6.345,0.005,0.389,0.002,0.004,0.877,0.244,6.5,Landfill,9.5,Truck,67.5,0.675,0.218,2.015,0.409,0,0.995,0.002,0.998,0.9965,6.5,2.076923,-1.0696537695,0.0,0.0
Aluminium,2022,India,Secondary,5.352,0.754,0.234,0.322,0.21,4.586,0.752,0.882,0.663,1.069,0.616,0.656,10.1,Downcycled,57.7,Truck+Ship,40.9,0.409,0.115,1.613,0.692,0,0.248,0.663,0.337,0.2925,10.1,1.336634,0.609034555,0.609035,60.9
Copper,2022,India,Secondary,8.743,1.353,0.0,1.202,0.72,6.821,0.807,0.836,0.675,3.684,0.136,0.509,7.7,Recycled,4.0,Ship,34.0,0.34,0.727,5.458,0.592,0,0.193,0.675,0.325,0.259,7.7,1.753247,0.545909027,0.545909,54.59
Steel,2018,China,Primary,23.544,2.189,6.265,9.944,3.665,3.669,0.045,0.33,0.015,0.018,0.658,0.286,8.0,Recycled,194.8,Ship,6.6,0.066,0.367,1.187,0.251,0,0.955,0.015,0.985,0.97,8.0,1.6875,-0.6368749999999999,0.0,0.0
Steel,2024,Germany,Primary,19.906,1.539,5.814,8.295,2.39,3.408,0.012,0.494,0.006,0.005,0.311,0.512,8.1,Recycled,126.2,Ship,20.0,0.2,0.126,0.763,0.289,0,0.988,0.006,0.994,0.991,8.1,1.666667,-0.651666997,0.0,0.0
Nickel,2018,Chile,Primary,68.82,6.118,25.666,33.131,4.843,5.18,0.019,0.3,0.006,0.105,0.49,0.293,6.8,Recycled,77.1,Ship,34.8,0.348,0.237,17.453,0.267,0,0.981,0.006,0.994,0.9875,6.8,1.985294,-0.9604778249999999,0.0,0.0
Aluminium,2018,Chile,Secondary,5.151,0.862,0.115,0.697,0.209,4.13,0.74,0.815,0.603,0.842,0.318,0.523,6.7,Recycled,262.2,Truck,40.7,0.407,0.184,1.396,0.611,0,0.26,0.603,0.397,0.3285,6.7,2.014925,0.33809713750000003,0.338097,33.81
Steel,2019,Germany,Secondary,7.286,0.688,0.547,1.323,0.599,4.816,0.921,0.876,0.806,0.618,0.404,0.572,3.7,Downcycled,562.0,Rail,51.5,0.515,0.458,0.767,0.714,0,0.079,0.806,0.194,0.1365,3.7,3.648649,0.5019594115,0.501959,50.2
Aluminium,2019,India,Secondary,5.723,0.685,0.257,0.696,0.242,4.527,0.721,0.815,0.588,0.631,0.385,0.271,4.3,Recycled,94.4,Ship,24.0,0.24,0.473,1.073,0.558,0,0.279,0.588,0.412,0.3455,4.3,3.139535,-0.08470934249999984,0.0,0.0
Lithium,2019,Chile,Primary,79.508,12.39,40.891,14.971,10.962,12.685,0.029,0.315,0.009,0.476,0.482,0.168,0.5,Downcycled,205.1,Ship,10.3,0.103,0.326,52.929,0.211,0,0.971,0.009,0.991,0.981,0.5,27.0,-25.487,0.0,0.0
Zinc,2019,Chile,Primary,21.572,3.052,5.98,9.848,2.953,2.791,0.06,0.3,0.018,0.05,0.587,0.721,0.7,Landfill,616.0,Truck,61.3,0.613,0.397,2.772,0.388,0,0.94,0.018,0.982,0.961,0.7,19.285714,-17.533571153999997,0.0,0.0
Steel,2019,Chile,Primary,21.182,1.863,6.982,8.515,3.113,2.572,0.041,0.3,0.012,0.011,0.789,0.517,10.0,Downcycled,159.4,Ship,28.6,0.286,0.357,0.878,0.328,0,0.959,0.012,0.988,0.9735,10.0,1.35,-0.3142250000000002,0.0,0.0
Aluminium,2022,Brazil,Primary,56.726,12.305,10.654,35.868,6.179,4.025,0.024,0.3,0.007,0.012,0.358,0.659,13.9,Recycled,240.8,Truck,44.8,0.448,0.334,1.774,0.305,0,0.976,0.007,0.993,0.9845,13.9,0.971223,0.04383095650000002,0.043831,4.38
Steel,2021,Australia,Primary,17.65,1.994,5.714,7.006,2.601,2.329,0.054,0.304,0.016,0.018,0.399,0.616,6.1,Downcycled,385.1,Truck,12.4,0.124,0.482,1.095,0.251,0,0.946,0.016,0.984,0.965,6.1,2.213115,-1.1356559750000002,0.0,0.0
Copper,2020,Australia,Primary,29.079,3.612,8.357,12.446,5.493,2.783,0.018,0.3,0.005,0.036,0.725,0.308,7.4,Recycled,1397.8,Truck,30.2,0.302,0.151,7.127,0.294,0,0.982,0.005,0.995,0.9885,7.4,1.824324,-0.8033442740000001,0.0,0.0
Zinc,2020,Chile,Primary,31.085,3.436,9.522,13.11,5.451,3.001,0.049,0.373,0.018,0.045,0.653,0.239,4.0,Downcycled,94.4,Truck+Ship,37.5,0.375,0.187,2.485,0.321,0,0.951,0.018,0.982,0.9665,4.0,3.375,-2.2619375,0.0,0.0
Zinc,2021,Australia,Primary,30.623,3.333,8.483,12.989,4.824,4.327,0.061,0.3,0.018,0.037,0.612,0.782,3.8,Recycled,153.1,Ship,42.6,0.426,0.322,2.059,0.36,0,0.939,0.018,0.982,0.9605,3.8,3.552632,-2.412303036,0.0,0.0
Copper,2022,USA,Secondary,7.55,1.113,0.713,0.96,0.457,5.42,0.569,0.86,0.49,2.339,0.555,0.581,13.4,Recycled,423.0,Ship,27.3,0.273,0.32,4.774,0.596,0,0.431,0.49,0.51,0.4705,13.4,1.007463,0.5259886585,0.525989,52.6
Copper,2019,India,Primary,29.015,3.295,8.336,13.179,6.045,1.455,0.019,0.3,0.006,0.036,0.755,0.417,7.4,Cascaded,68.7,Rail,41.4,0.414,0.15,5.982,0.332,0,0.981,0.006,0.994,0.9875,7.4,1.824324,-0.8015199500000001,0.0,0.0
Steel,2021,Canada,Primary,20.761,1.932,5.729,7.893,3.308,3.83,0.039,0.345,0.014,0.017,0.284,0.753,8.2,Landfill,32.2,Ship,37.9,0.379,0.475,1.193,0.307,0,0.961,0.014,0.986,0.9735,8.2,1.646341,-0.6027129635000001,0.0,0.0
Aluminium,2019,USA,Primary,62.836,11.665,9.524,38.173,8.346,6.793,0.016,0.3,0.005,0.009,0.778,0.499,13.2,Landfill,514.8,Truck,78.0,0.78,0.151,1.722,0.417,0,0.984,0.005,0.995,0.9895,13.2,1.022727,-0.011988366500000014,0.0,0.0
Aluminium,2020,Australia,Primary,53.229,10.086,7.817,35.216,4.924,5.272,0.033,0.3,0.01,0.02,0.459,0.625,10.7,Downcycled,317.0,Truck,21.0,0.21,0.575,1.972,0.272,0,0.967,0.01,0.99,0.9785,10.7,1.261682,-0.23455583700000004,0.0,0.0
Nickel,2021,China,Secondary,16.865,2.219,1.811,2.373,1.276,11.405,0.807,0.859,0.693,9.918,0.273,0.322,5.8,Recycled,107.8,Truck,40.4,0.404,0.327,14.311,0.613,0,0.193,0.693,0.307,0.25,5.8,2.327586,0.41810349999999996,0.418103,41.81
Lithium,2024,China,Primary,102.767,7.035,55.677,17.52,12.968,16.602,0.012,0.3,0.004,0.182,0.229,0.315,4.9,Recycled,84.8,Truck,7.7,0.077,0.561,45.578,0.174,0,0.988,0.004,0.996,0.992,4.9,2.755102,-1.7330611839999999,0.0,0.0
Steel,2024,Canada,Primary,18.793,1.857,6.359,7.218,2.639,2.578,0.041,0.349,0.014,0.011,0.723,0.527,8.9,Recycled,551.9,Truck,30.1,0.301,0.356,0.763,0.336,0,0.959,0.014,0.986,0.9725,8.9,1.516854,-0.4751405149999999,0.0,0.0
Cobalt,2024,Brazil,Primary,62.811,13.095,24.4,22.459,9.688,6.265,0.024,0.3,0.007,0.24,0.452,0.384,5.8,Recycled,194.2,Truck+Ship,47.9,0.479,0.366,34.234,0.298,0,0.976,0.007,0.993,0.9845,5.8,2.327586,-1.2915084170000002,0.0,0.0
Steel,2019,China,Primary,19.313,2.243,5.558,7.625,2.922,3.208,0.008,0.3,0.002,0.002,0.389,0.435,8.5,Landfill,55.1,Rail,30.1,0.301,0.386,1.052,0.254,0,0.992,0.002,0.998,0.995,8.5,1.588235,-0.580293825,0.0,0.0
Zinc,2018,China,Primary,32.459,3.331,8.627,14.245,5.091,4.496,0.024,0.384,0.009,0.019,0.381,0.495,9.2,Cascaded,135.5,Ship,51.8,0.518,0.264,2.162,0.331,0,0.976,0.009,0.991,0.9835,9.2,1.467391,-0.4431790485,0.0,0.0
Steel,2018,China,Secondary,9.108,0.592,0.591,1.125,0.769,6.623,0.77,0.776,0.597,0.44,0.798,0.479,7.4,Recycled,139.7,Truck+Ship,12.5,0.125,0.252,0.737,0.618,0,0.23,0.597,0.403,0.3165,7.4,1.824324,0.42260145399999993,0.422601,42.26
Copper,2023,Chile,Primary,29.94,4.905,8.19,12.994,5.173,3.583,0.016,0.445,0.007,0.05,0.364,0.323,9.5,Recycled,300.4,Rail,21.6,0.216,0.091,7.081,0.268,0,0.984,0.007,0.993,0.9885,9.5,1.421053,-0.40471089049999986,0.0,0.0
Nickel,2019,Australia,Primary,75.16,10.801,25.727,33.071,9.216,7.146,0.006,0.3,0.002,0.042,0.401,0.346,4.8,Landfill,151.7,Truck,32.4,0.324,0.384,21.132,0.251,0,0.994,0.002,0.998,0.996,4.8,2.8125,-1.80125,0.0,0.0
Steel,2021,Canada,Primary,23.237,2.007,6.286,9.517,3.849,3.585,0.015,0.444,0.007,0.005,0.476,0.615,10.7,Recycled,481.0,Truck,22.1,0.221,0.519,0.702,0.314,0,0.985,0.007,0.993,0.989,10.7,1.261682,-0.2478034979999999,0.0,0.0
Copper,2023,Canada,Primary,29.63,3.437,7.577,12.557,6.14,3.356,0.064,0.3,0.019,0.119,0.282,0.712,10.7,Recycled,465.7,Truck+Ship,24.7,0.247,0.439,6.283,0.269,0,0.936,0.019,0.981,0.9585,10.7,1.261682,-0.2093221970000001,0.0,0.0
Copper,2020,Chile,Primary,32.183,3.895,7.625,13.856,8.403,2.3,0.047,0.3,0.014,0.063,0.232,0.231,12.7,Recycled,54.6,Truck,48.1,0.481,0.373,4.527,0.256,0,0.953,0.014,0.986,0.9695,12.7,1.062992,-0.03057074400000004,0.0,0.0
Lithium,2023,Chile,Primary,99.869,11.107,54.681,18.494,12.85,13.844,0.041,0.3,0.012,0.561,0.136,0.292,2.3,Recycled,361.8,Truck,25.0,0.25,0.69,46.773,0.2,0,0.959,0.012,0.988,0.9735,2.3,5.869565,-4.7140215275,0.0,0.0
Steel,2023,Chile,Primary,24.715,2.163,6.754,10.261,3.606,4.094,0.028,0.3,0.008,0.006,0.596,0.633,13.1,Downcycled,104.8,Truck,0.0,0.0,0.376,0.789,0.25,0,0.972,0.008,0.992,0.982,13.1,1.030534,-0.011984388000000123,0.0,0.0
Zinc,2018,Chile,Primary,21.527,3.514,6.342,8.584,4.004,2.597,0.038,0.3,0.011,0.024,0.608,0.303,1.9,Recycled,383.9,Ship,59.1,0.591,0.346,2.185,0.339,0,0.962,0.011,0.989,0.9755,1.9,7.105263,-5.9311840565,0.0,0.0
Cobalt,2022,USA,Secondary,16.956,3.41,1.834,3.181,1.899,10.042,0.825,0.883,0.729,17.187,0.241,0.263,0.5,Recycled,334.5,Ship,6.6,0.066,0.242,23.576,0.547,0,0.175,0.729,0.271,0.223,0.5,27.0,-5.021,0.0,0.0
Steel,2024,India,Secondary,7.101,0.862,0.699,1.086,0.65,4.666,0.721,0.847,0.611,0.448,0.649,0.455,5.3,Downcycled,340.3,Truck,37.2,0.372,0.355,0.734,0.652,0,0.279,0.611,0.389,0.334,5.3,2.54717,0.14924521999999996,0.149245,14.92
Copper,2019,China,Secondary,7.919,0.886,0.367,0.798,0.892,5.861,0.608,0.867,0.527,2.533,0.715,0.389,10.4,Downcycled,564.6,Truck+Ship,43.0,0.43,0.068,4.806,0.644,0,0.392,0.527,0.473,0.4325,10.4,1.298077,0.4385816975000001,0.438582,43.86
Nickel,2023,USA,Secondary,14.202,2.123,1.646,2.096,0.408,10.052,0.902,0.845,0.762,11.03,0.366,0.419,3.8,Recycled,48.4,Rail,5.9,0.059,0.489,14.475,0.588,0,0.098,0.762,0.238,0.168,3.8,3.552632,0.403157824,0.403158,40.32
Copper,2024,China,Secondary,7.889,0.919,0.834,0.947,0.571,5.538,0.875,0.796,0.697,3.378,0.589,0.471,8.2,Incinerated,751.7,Ship,23.5,0.235,0.556,4.847,0.64,1,0.125,0.697,0.303,0.214,8.2,1.646341,0.6476830259999999,0.647683,64.77
Steel,2020,Australia,Primary,18.682,2.602,5.462,7.688,2.628,2.905,0.027,0.542,0.015,0.013,0.511,0.295,11.0,Landfill,83.1,Ship,35.3,0.353,0.399,0.873,0.346,0,0.973,0.015,0.985,0.979,11.0,1.227273,-0.20150026700000012,0.0,0.0
Copper,2023,Brazil,Secondary,7.955,0.853,0.272,1.128,0.699,5.856,0.658,0.879,0.579,3.173,0.39,0.175,12.2,Recycled,392.9,Truck,6.7,0.067,0.5,5.48,0.518,0,0.342,0.579,0.421,0.3815,12.2,1.106557,0.5778485044999999,0.577849,57.78
Copper,2018,India,Primary,23.853,3.569,6.558,9.633,4.842,2.819,0.029,0.3,0.009,0.062,0.54,0.54,9.6,Landfill,268.7,Truck,14.4,0.144,0.175,6.926,0.261,0,0.971,0.009,0.991,0.981,9.6,1.40625,-0.3795312499999999,0.0,0.0
Nickel,2024,China,Secondary,20.392,2.488,2.656,2.229,1.28,14.226,0.576,0.88,0.507,7.693,0.184,0.063,6.4,Downcycled,435.1,Truck,18.6,0.186,0.261,15.173,0.479,0,0.424,0.507,0.493,0.4585,6.4,2.109375,0.03285156249999999,0.032852,3.29
Copper,2023,China,Primary,28.77,2.781,8.99,11.72,5.553,2.506,0.006,0.371,0.002,0.011,0.466,0.229,12.3,Landfill,37.9,Truck,71.8,0.718,0.445,5.305,0.349,0,0.994,0.002,0.998,0.996,12.3,1.097561,-0.09317075599999991,0.0,0.0
Lithium,2023,China,Primary,113.948,10.388,57.488,23.273,17.746,15.44,0.017,0.3,0.005,0.275,0.06,0.068,6.2,Recycled,315.8,Ship,29.3,0.293,0.353,55.082,0.169,0,0.983,0.005,0.995,0.989,6.2,2.177419,-1.153467391,0.0,0.0
